Station1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Station2,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Station4,Var18,x30_10_2022,Var20,Var21,Var22,Var23,Var24,Station8,Var26,Var27,Var28,Var29,Var30,Var31
24,2.4,0.0508,NaN,NaN,0,0,NaN,24,2.4,-1.2192,NaN,NaN,0,0,NaN,24,2.4,-1.2192,NaN,NaN,0,0,NaN,24,2.4,-1.2192,NaN,NaN,0,0
25,2.5,0,149.75,154.21875,4.46875,0.9965217286,NaN,25,2.5,-1.27,149.75,154.25,4.5,1,NaN,25,2.5,-1.27,149.75,154.21875,4.46875,0.9965217286,NaN,25,2.5,-1.27,149.6875,154.25,4.5625,1
26,2.6,-0.0508,NaN,NaN,0,0,NaN,26,2.6,-1.3208,149.75,154.25,4.5,1,NaN,26,2.6,-1.3208,NaN,NaN,0,0,NaN,26,2.6,-1.3208,NaN,NaN,0,0
27,2.7,-0.1016,NaN,NaN,0,0,NaN,27,2.7,-1.3716,149.75,154.21875,4.46875,0.9965217286,NaN,27,2.7,-1.3716,NaN,NaN,0,0,NaN,27,2.7,-1.3716,NaN,NaN,0,0
28,2.8,-0.1524,NaN,NaN,0,0,NaN,28,2.8,-1.4224,149.8125,154.125,4.3125,0.9789450104,NaN,28,2.8,-1.4224,NaN,NaN,0,0,NaN,28,2.8,-1.4224,NaN,NaN,0,0
29,2.9,-0.2032,NaN,NaN,0,0,NaN,29,2.9,-1.4732,149.9375,153.96875,4.03125,0.9464847243,NaN,29,2.9,-1.4732,NaN,NaN,0,0,NaN,29,2.9,-1.4732,NaN,NaN,0,0
30,3,-0.254,149.75,154.21875,4.46875,0.9965217286,NaN,30,3,-1.524,150.375,153.75,3.375,0.8660254038,NaN,30,3,-1.524,149.75,154.21875,4.46875,0.9965217286,NaN,30,3,-1.524,149.6875,154.25,4.5625,1
31,3.1,-0.3048,NaN,NaN,0,0,NaN,31,3.1,-1.5748,150.4375,153.5,3.0625,0.8249579114,NaN,31,3.1,-1.5748,NaN,NaN,0,0,NaN,31,3.1,-1.5748,NaN,NaN,0,0
32,3.2,-0.3556,NaN,NaN,0,0,NaN,32,3.2,-1.6256,150.625,153.3125,2.6875,0.7728015413,NaN,32,3.2,-1.6256,NaN,NaN,0,0,NaN,32,3.2,-1.6256,NaN,NaN,0,0
33,3.3,-0.4064,NaN,NaN,0,0,NaN,33,3.3,-1.6764,150.78125,153.15625,2.375,0.7264831573,NaN,33,3.3,-1.6764,NaN,NaN,0,0,NaN,33,3.3,-1.6764,NaN,NaN,0,0
34,3.4,-0.4572,NaN,NaN,0,0,NaN,34,3.4,-1.7272,150.90625,153.03125,2.125,0.6871842709,NaN,34,3.4,-1.7272,NaN,NaN,0,0,NaN,34,3.4,-1.7272,NaN,NaN,0,0
35,3.5,-0.508,149.75,154.25,4.5,1,NaN,35,3.5,-1.778,151.03125,152.875,1.84375,0.640095479,NaN,35,3.5,-1.778,149.75,154.21875,4.46875,0.9965217286,NaN,35,3.5,-1.778,149.6875,154.25,4.5625,1
36,3.6,-0.5588,NaN,NaN,0,0,NaN,36,3.6,-1.8288,151.25,152.8125,1.5625,0.589255651,NaN,36,3.6,-1.8288,NaN,NaN,0,0,NaN,36,3.6,-1.8288,NaN,NaN,0,0
37,3.7,-0.6096,NaN,NaN,0,0,NaN,37,3.7,-1.8796,151.21875,152.71875,1.5,0.5773502692,NaN,37,3.7,-1.8796,NaN,NaN,0,0,NaN,37,3.7,-1.8796,NaN,NaN,0,0
38,3.8,-0.6604,NaN,NaN,0,0,NaN,38,3.8,-1.9304,151.28125,152.65625,1.375,0.5527707984,NaN,38,3.8,-1.9304,NaN,NaN,0,0,NaN,38,3.8,-1.9304,NaN,NaN,0,0
39,3.9,-0.7112,NaN,NaN,0,0,NaN,39,3.9,-1.9812,151.3125,152.59375,1.28125,0.5335936865,NaN,39,3.9,-1.9812,NaN,NaN,0,0,NaN,39,3.9,-1.9812,NaN,NaN,0,0
40,4,-0.762,149.75,154.25,4.5,1,NaN,40,4,-2.032,151.375,152.5625,1.1875,0.5137011669,NaN,40,4,-2.032,149.75,154.21875,4.46875,0.9965217286,NaN,40,4,-2.032,149.6875,154.25,4.5625,1
41,4.1,-0.8128,NaN,NaN,0,0,NaN,41,4.1,-2.0828,151.375,152.5625,1.1875,0.5137011669,NaN,41,4.1,-2.0828,NaN,NaN,0,0,NaN,41,4.1,-2.0828,NaN,NaN,0,0
42,4.2,-0.8636,NaN,NaN,0,0,NaN,42,4.2,-2.1336,151.40625,152.53125,1.125,0.5,NaN,42,4.2,-2.1336,NaN,NaN,0,0,NaN,42,4.2,-2.1336,NaN,NaN,0,0
43,4.3,-0.9144,NaN,NaN,0,0,NaN,43,4.3,-2.1844,151.4375,152.5,1.0625,0.4859126579,NaN,43,4.3,-2.1844,NaN,NaN,0,0,NaN,43,4.3,-2.1844,NaN,NaN,0,0
44,4.4,-0.9652,NaN,NaN,0,0,NaN,44,4.4,-2.2352,151.4375,152.46875,1.03125,0.4787135539,NaN,44,4.4,-2.2352,NaN,NaN,0,0,NaN,44,4.4,-2.2352,NaN,NaN,0,0
45,4.5,-1.016,149.75,154.25,4.5,1,NaN,45,4.5,-2.286,151.46875,152.4375,0.96875,0.4639803636,NaN,45,4.5,-2.286,149.75,154.21875,4.46875,0.9965217286,NaN,45,4.5,-2.286,149.6875,154.25,4.5625,1
46,4.6,-1.0668,NaN,NaN,0,0,NaN,46,4.6,-2.3368,151.5,152.40625,0.90625,0.4487637339,NaN,46,4.6,-2.3368,NaN,NaN,0,0,NaN,46,4.6,-2.3368,NaN,NaN,0,0
47,4.7,-1.1176,NaN,NaN,0,0,NaN,47,4.7,-2.3876,151.53125,152.40625,0.875,0.4409585518,NaN,47,4.7,-2.3876,NaN,NaN,0,0,NaN,47,4.7,-2.3876,NaN,NaN,0,0
