Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,TopSideDownstream_ButTheWindJustBroughtItBackAndMadeItTiltAnoth,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,PushedTheWholeDiskAllTheWayToDownstream_AndThenPushedTheTopSide,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,PushedTheWholeDiskAllTheWayToDownstream_AndThenPushedTheTopSi_1,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,PushedTheWholeDiskAllTheWayToDownstream_AndThenPushedTheTopSi_2,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71
31.5,94.5,-0.39,"",NaN,0,,"",NaN,31.5,94.5,-0.39,"",NaN,0,,"",NaN,31.5,94.5,-0.27,151.9375,154.15625,2.21875,0.7021791478,"0.01030836895",NaN,31.5,94.5,-0.27,151.8125,154.25,2.4375,0.7259662713,"0.009791428699",NaN,31.5,94.5,-0.27,151.71875,154.34375,2.625,0.758513326,"0.009060533619",NaN,31.5,94.5,-0.27,151.625,154.46875,2.84375,0.7949493345,"0.008063736481",NaN,31.5,94.5,-0.27,"",NaN,0,,"",NaN,31.5,94.5,-0.27,"",NaN,0,,""
32,96,-0.42,"",NaN,0,,"",NaN,32,96,-0.42,"",NaN,0,,"",NaN,32,96,-0.3,151.78125,154.3125,2.53125,0.75,"0.01062298484",NaN,32,96,-0.3,151.6875,154.375,2.6875,0.7622867447,"0.01018585659",NaN,32,96,-0.3,151.625,154.46875,2.84375,0.7894857005,"0.009360269224",NaN,32,96,-0.3,151.53125,154.5625,3.03125,0.8207381501,"0.008307888243",NaN,32,96,-0.3,"",NaN,0,,"",NaN,32,96,-0.3,"",NaN,0,,""
32.5,97.5,-0.45,"",NaN,0,,"",NaN,32.5,97.5,-0.45,"",NaN,0,,"",NaN,32.5,97.5,-0.33,151.625,154.46875,2.84375,0.7949493345,"0.01037117776",NaN,32.5,97.5,-0.33,151.53125,154.53125,3,0.8053872663,"0.00999831744",NaN,32.5,97.5,-0.33,151.5,154.59375,3.09375,0.823457462,"0.009220566391",NaN,32.5,97.5,-0.33,151.4375,154.6875,3.25,0.8498365856,"0.008128951255",NaN,32.5,97.5,-0.33,"",NaN,0,,"",NaN,32.5,97.5,-0.33,"",NaN,0,,""
33,99,-0.48,"",NaN,0,,"",NaN,33,99,-0.48,"",NaN,0,,"",NaN,33,99,-0.36,151.4375,154.625,3.1875,0.8416254115,"0.009592233822",NaN,33,99,-0.36,151.375,154.6875,3.3125,0.8462955844,"0.009288336993",NaN,33,99,-0.36,151.34375,154.71875,3.375,0.8600732686,"0.008604713519",NaN,33,99,-0.36,151.3125,154.78125,3.46875,0.8779711461,"0.007604132577",NaN,33,99,-0.36,"",NaN,0,,"",NaN,33,99,-0.36,"",NaN,0,,""
33.5,100.5,-0.51,"",NaN,0,,"",NaN,33.5,100.5,-0.51,"",NaN,0,,"",NaN,33.5,100.5,-0.39,151.28125,154.8125,3.53125,0.8858454844,"0.008239444409",NaN,33.5,100.5,-0.39,151.25,154.8125,3.5625,0.877650426,"0.008360422074",NaN,33.5,100.5,-0.39,151.25,154.84375,3.59375,0.887508441,"0.00775296542",NaN,33.5,100.5,-0.39,151.21875,154.875,3.65625,0.9013878189,"0.006902317376",NaN,33.5,100.5,-0.39,"",NaN,0,,"",NaN,33.5,100.5,-0.39,"",NaN,0,,""
34,102,-0.54,"",NaN,0,,"",NaN,34,102,-0.54,"",NaN,0,,"",NaN,34,102,-0.42,151.125,154.96875,3.84375,0.9242113755,"0.006489605221",NaN,34,102,-0.42,151.125,154.9375,3.8125,0.9079230828,"0.007256111982",NaN,34,102,-0.42,151.125,154.96875,3.84375,0.917859332,"0.006654064224",NaN,34,102,-0.42,151.09375,155,3.90625,0.9316949906,"0.005786324719",NaN,34,102,-0.42,"",NaN,0,,"",NaN,34,102,-0.42,"",NaN,0,,""
34.5,103.5,-0.57,"",NaN,0,,"",NaN,34.5,103.5,-0.57,"",NaN,0,,"",NaN,34.5,103.5,-0.45,151,155.09375,4.09375,0.9537935952,"0.00464178755",NaN,34.5,103.5,-0.45,151,155.0625,4.0625,0.9372184262,"0.00580467363",NaN,34.5,103.5,-0.45,151,155.0625,4.0625,0.9436158959,"0.005240885728",NaN,34.5,103.5,-0.45,151,155.09375,4.09375,0.9537935952,"0.00438824076",NaN,34.5,103.5,-0.45,"",NaN,0,,"",NaN,34.5,103.5,-0.45,"",NaN,0,,""
35,105,-0.6,"",NaN,0,,"",NaN,35,105,-0.6,"",NaN,0,,"",NaN,35,105,-0.48,150.90625,155.1875,4.28125,0.9753916592,"0.002954992819",NaN,35,105,-0.48,150.875,155.1875,4.3125,0.96562541,"0.003997109664",NaN,35,105,-0.48,150.90625,155.1875,4.28125,0.968687857,"0.003628674676",NaN,35,105,-0.48,150.9375,155.15625,4.21875,0.9682458366,"0.003260041948",NaN,35,105,-0.48,"",NaN,0,,"",NaN,35,105,-0.48,"",NaN,0,,""
35.5,106.5,-0.63,"",NaN,0,,"",NaN,35.5,106.5,-0.63,"",NaN,0,,"",NaN,35.5,106.5,-0.51,NaN,NaN,0,,"",NaN,35.5,106.5,-0.51,150.8125,155.25,4.4375,0.9795200148,"0.002465852957",NaN,35.5,106.5,-0.51,150.84375,155.25,4.40625,0.9827275435,"0",NaN,35.5,106.5,-0.51,150.875,155.21875,4.34375,0.9824855102,"0",NaN,35.5,106.5,-0.51,"",NaN,0,,"",NaN,35.5,106.5,-0.51,"",NaN,0,,""
36,108,-0.66,"",NaN,0,,"",NaN,36,108,-0.66,"",NaN,0,,"",NaN,36,108,-0.54,150.84375,155.28125,4.4375,0.993031274,"0",NaN,36,108,-0.54,150.78125,155.28125,4.5,0.9863939238,"0",NaN,36,108,-0.54,150.8125,155.28125,4.46875,0.9896727008,"0",NaN,36,108,-0.54,150.84375,155.25,4.40625,0.9895285073,"0",NaN,36,108,-0.54,"",NaN,0,,"",NaN,36,108,-0.54,"",NaN,0,,""
36.5,109.5,-0.69,"",NaN,0,,"",NaN,36.5,109.5,-0.69,"",NaN,0,,"",NaN,36.5,109.5,-0.57,NaN,NaN,0,,"",NaN,36.5,109.5,-0.57,NaN,NaN,0,,"",NaN,36.5,109.5,-0.57,NaN,NaN,0,,"",NaN,36.5,109.5,-0.57,NaN,NaN,0,,"",NaN,36.5,109.5,-0.57,"",NaN,0,,"",NaN,36.5,109.5,-0.57,"",NaN,0,,""
37,111,-0.72,"",NaN,0,,"",NaN,37,111,-0.72,"",NaN,0,,"",NaN,37,111,-0.6,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,37,111,-0.6,150.75,155.3125,4.5625,0.9932202608,"0",NaN,37,111,-0.6,150.8125,155.28125,4.46875,0.9896727008,"0",NaN,37,111,-0.6,150.84375,155.28125,4.4375,0.993031274,"0",NaN,37,111,-0.6,"",NaN,0,,"",NaN,37,111,-0.6,"",NaN,0,,""
37.5,112.5,-0.75,"",NaN,0,,"",NaN,37.5,112.5,-0.75,"",NaN,0,,"",NaN,37.5,112.5,-0.63,NaN,NaN,0,,"",NaN,37.5,112.5,-0.63,NaN,NaN,0,,"",NaN,37.5,112.5,-0.63,NaN,NaN,0,,"",NaN,37.5,112.5,-0.63,NaN,NaN,0,,"",NaN,37.5,112.5,-0.63,"",NaN,0,,"",NaN,37.5,112.5,-0.63,"",NaN,0,,""
38,114,-0.78,"",NaN,0,,"",NaN,38,114,-0.78,"",NaN,0,,"",NaN,38,114,-0.66,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,38,114,-0.66,150.75,155.3125,4.5625,0.9932202608,"0",NaN,38,114,-0.66,150.78125,155.28125,4.5,0.9931270663,"0",NaN,38,114,-0.66,150.84375,155.28125,4.4375,0.993031274,"0",NaN,38,114,-0.66,"",NaN,0,,"",NaN,38,114,-0.66,"",NaN,0,,""
38.5,115.5,-0.81,"",NaN,0,,"",NaN,38.5,115.5,-0.81,"",NaN,0,,"",NaN,38.5,115.5,-0.69,NaN,NaN,0,,"",NaN,38.5,115.5,-0.69,NaN,NaN,0,,"",NaN,38.5,115.5,-0.69,NaN,NaN,0,,"",NaN,38.5,115.5,-0.69,NaN,NaN,0,,"",NaN,38.5,115.5,-0.69,"",NaN,0,,"",NaN,38.5,115.5,-0.69,"",NaN,0,,""
39,117,-0.84,"",NaN,0,,"",NaN,39,117,-0.84,"",NaN,0,,"",NaN,39,117,-0.72,NaN,NaN,0,,"",NaN,39,117,-0.72,150.75,155.3125,4.5625,0.9932202608,"0",NaN,39,117,-0.72,150.78125,155.28125,4.5,0.9931270663,"0",NaN,39,117,-0.72,150.84375,155.28125,4.4375,0.993031274,"0",NaN,39,117,-0.72,"",NaN,0,,"",NaN,39,117,-0.72,"",NaN,0,,""
39.5,118.5,-0.87,"",NaN,0,,"",NaN,39.5,118.5,-0.87,"",NaN,0,,"",NaN,39.5,118.5,-0.75,NaN,NaN,0,,"",NaN,39.5,118.5,-0.75,NaN,NaN,0,,"",NaN,39.5,118.5,-0.75,NaN,NaN,0,,"",NaN,39.5,118.5,-0.75,NaN,NaN,0,,"",NaN,39.5,118.5,-0.75,"",NaN,0,,"",NaN,39.5,118.5,-0.75,"",NaN,0,,""
40,120,-0.9,"",NaN,0,,"",NaN,40,120,-0.9,"",NaN,0,,"",NaN,40,120,-0.78,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,40,120,-0.78,150.75,155.3125,4.5625,0.9932202608,"0",NaN,40,120,-0.78,150.78125,155.3125,4.53125,0.9965694582,"0",NaN,40,120,-0.78,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,40,120,-0.78,"",NaN,0,,"",NaN,40,120,-0.78,"",NaN,0,,""
40.5,121.5,-0.93,"",NaN,0,,"",NaN,40.5,121.5,-0.93,"",NaN,0,,"",NaN,40.5,121.5,-0.81,NaN,NaN,0,,"",NaN,40.5,121.5,-0.81,NaN,NaN,0,,"",NaN,40.5,121.5,-0.81,NaN,NaN,0,,"",NaN,40.5,121.5,-0.81,NaN,NaN,0,,"",NaN,40.5,121.5,-0.81,"",NaN,0,,"",NaN,40.5,121.5,-0.81,"",NaN,0,,""
41,123,-0.96,"",NaN,0,,"",NaN,41,123,-0.96,"",NaN,0,,"",NaN,41,123,-0.84,NaN,NaN,0,,"",NaN,41,123,-0.84,150.75,155.3125,4.5625,0.9932202608,"0",NaN,41,123,-0.84,150.78125,155.3125,4.53125,0.9965694582,"0",NaN,41,123,-0.84,NaN,NaN,0,,"",NaN,41,123,-0.84,"",NaN,0,,"",NaN,41,123,-0.84,"",NaN,0,,""
41.5,124.5,-0.99,"",NaN,0,,"",NaN,41.5,124.5,-0.99,"",NaN,0,,"",NaN,41.5,124.5,-0.87,NaN,NaN,0,,"",NaN,41.5,124.5,-0.87,NaN,NaN,0,,"",NaN,41.5,124.5,-0.87,NaN,NaN,0,,"",NaN,41.5,124.5,-0.87,NaN,NaN,0,,"",NaN,41.5,124.5,-0.87,"",NaN,0,,"",NaN,41.5,124.5,-0.87,"",NaN,0,,""
42,126,-1.02,"",NaN,0,,"",NaN,42,126,-1.02,"",NaN,0,,"",NaN,42,126,-0.9,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,42,126,-0.9,150.75,155.3125,4.5625,0.9932202608,"0",NaN,42,126,-0.9,150.78125,155.3125,4.53125,0.9965694582,"0",NaN,42,126,-0.9,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,42,126,-0.9,"",NaN,0,,"",NaN,42,126,-0.9,"",NaN,0,,""
42.5,127.5,-1.05,"",NaN,0,,"",NaN,42.5,127.5,-1.05,"",NaN,0,,"",NaN,42.5,127.5,-0.93,NaN,NaN,0,,"",NaN,42.5,127.5,-0.93,NaN,NaN,0,,"",NaN,42.5,127.5,-0.93,NaN,NaN,0,,"",NaN,42.5,127.5,-0.93,NaN,NaN,0,,"",NaN,42.5,127.5,-0.93,"",NaN,0,,"",NaN,42.5,127.5,-0.93,"",NaN,0,,""
43,129,-1.08,"",NaN,0,,"",NaN,43,129,-1.08,"",NaN,0,,"",NaN,43,129,-0.96,NaN,NaN,0,,"",NaN,43,129,-0.96,150.75,155.3125,4.5625,0.9932202608,"0",NaN,43,129,-0.96,NaN,NaN,0,,"",NaN,43,129,-0.96,NaN,NaN,0,,"",NaN,43,129,-0.96,"",NaN,0,,"",NaN,43,129,-0.96,"",NaN,0,,""
43.5,130.5,-1.11,"",NaN,0,,"",NaN,43.5,130.5,-1.11,"",NaN,0,,"",NaN,43.5,130.5,-0.99,NaN,NaN,0,,"",NaN,43.5,130.5,-0.99,NaN,NaN,0,,"",NaN,43.5,130.5,-0.99,NaN,NaN,0,,"",NaN,43.5,130.5,-0.99,NaN,NaN,0,,"",NaN,43.5,130.5,-0.99,"",NaN,0,,"",NaN,43.5,130.5,-0.99,"",NaN,0,,""
44,132,-1.14,"",NaN,0,,"",NaN,44,132,-1.14,"",NaN,0,,"",NaN,44,132,-1.02,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,44,132,-1.02,150.75,155.3125,4.5625,0.9932202608,"0",NaN,44,132,-1.02,150.78125,155.3125,4.53125,0.9965694582,"0",NaN,44,132,-1.02,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,44,132,-1.02,"",NaN,0,,"",NaN,44,132,-1.02,"",NaN,0,,""
44.5,133.5,-1.17,"",NaN,0,,"",NaN,44.5,133.5,-1.17,"",NaN,0,,"",NaN,44.5,133.5,-1.05,NaN,NaN,0,,"",NaN,44.5,133.5,-1.05,NaN,NaN,0,,"",NaN,44.5,133.5,-1.05,NaN,NaN,0,,"",NaN,44.5,133.5,-1.05,NaN,NaN,0,,"",NaN,44.5,133.5,-1.05,"",NaN,0,,"",NaN,44.5,133.5,-1.05,"",NaN,0,,""
45,135,-1.2,"",NaN,0,,"",NaN,45,135,-1.2,"",NaN,0,,"",NaN,45,135,-1.08,NaN,NaN,0,,"",NaN,45,135,-1.08,NaN,NaN,0,,"",NaN,45,135,-1.08,NaN,NaN,0,,"",NaN,45,135,-1.08,NaN,NaN,0,,"",NaN,45,135,-1.08,"",NaN,0,,"",NaN,45,135,-1.08,"",NaN,0,,""
45.5,136.5,-1.23,"",NaN,0,,"",NaN,45.5,136.5,-1.23,"",NaN,0,,"",NaN,45.5,136.5,-1.11,NaN,NaN,0,,"",NaN,45.5,136.5,-1.11,NaN,NaN,0,,"",NaN,45.5,136.5,-1.11,NaN,NaN,0,,"",NaN,45.5,136.5,-1.11,NaN,NaN,0,,"",NaN,45.5,136.5,-1.11,"",NaN,0,,"",NaN,45.5,136.5,-1.11,"",NaN,0,,""
46,138,-1.26,"",NaN,0,,"",NaN,46,138,-1.26,"",NaN,0,,"",NaN,46,138,-1.14,150.8125,155.3125,4.5,1,"0",NaN,46,138,-1.14,150.75,155.3125,4.5625,0.9932202608,"0",NaN,46,138,-1.14,150.78125,155.3125,4.53125,0.9965694582,"0",NaN,46,138,-1.14,150.8125,155.28125,4.46875,0.9965217286,"0",NaN,46,138,-1.14,"",NaN,0,,"",NaN,46,138,-1.14,"",NaN,0,,""
46.5,139.5,-1.29,"",NaN,0,,"",NaN,46.5,139.5,-1.29,"",NaN,0,,"",NaN,46.5,139.5,-1.17,NaN,NaN,0,,"",NaN,46.5,139.5,-1.17,NaN,NaN,0,,"",NaN,46.5,139.5,-1.17,NaN,NaN,0,,"",NaN,46.5,139.5,-1.17,NaN,NaN,0,,"",NaN,46.5,139.5,-1.17,"",NaN,0,,"",NaN,46.5,139.5,-1.17,"",NaN,0,,""
47,141,-1.32,"",NaN,0,,"",NaN,47,141,-1.32,"",NaN,0,,"",NaN,47,141,-1.2,NaN,NaN,0,,"",NaN,47,141,-1.2,NaN,NaN,0,,"",NaN,47,141,-1.2,NaN,NaN,0,,"",NaN,47,141,-1.2,NaN,NaN,0,,"",NaN,47,141,-1.2,"",NaN,0,,"",NaN,47,141,-1.2,"",NaN,0,,""
47.5,142.5,-1.35,"",NaN,0,,"",NaN,47.5,142.5,-1.35,"",NaN,0,,"",NaN,47.5,142.5,-1.23,NaN,NaN,0,,"",NaN,47.5,142.5,-1.23,NaN,NaN,0,,"",NaN,47.5,142.5,-1.23,NaN,NaN,0,,"",NaN,47.5,142.5,-1.23,NaN,NaN,0,,"",NaN,47.5,142.5,-1.23,"",NaN,0,,"",NaN,47.5,142.5,-1.23,"",NaN,0,,""
48,144,-1.38,"",NaN,0,,"",NaN,48,144,-1.38,"",NaN,0,,"",NaN,48,144,-1.26,150.8125,155.3125,4.5,1,"0",NaN,48,144,-1.26,150.75,155.34375,4.59375,0.9966158955,"0",NaN,48,144,-1.26,150.75,155.3125,4.5625,1,"0",NaN,48,144,-1.26,150.8125,155.3125,4.5,1,"0",NaN,48,144,-1.26,"",NaN,0,,"",NaN,48,144,-1.26,"",NaN,0,,""
48.5,145.5,-1.41,"",NaN,0,,"",NaN,48.5,145.5,-1.41,"",NaN,0,,"",NaN,48.5,145.5,-1.29,NaN,NaN,0,,"",NaN,48.5,145.5,-1.29,NaN,NaN,0,,"",NaN,48.5,145.5,-1.29,NaN,NaN,0,,"",NaN,48.5,145.5,-1.29,NaN,NaN,0,,"",NaN,48.5,145.5,-1.29,"",NaN,0,,"",NaN,48.5,145.5,-1.29,"",NaN,0,,""
49,147,-1.44,"",NaN,0,,"",NaN,49,147,-1.44,"",NaN,0,,"",NaN,49,147,-1.32,NaN,NaN,0,,"",NaN,49,147,-1.32,NaN,NaN,0,,"",NaN,49,147,-1.32,NaN,NaN,0,,"",NaN,49,147,-1.32,NaN,NaN,0,,"",NaN,49,147,-1.32,"",NaN,0,,"",NaN,49,147,-1.32,"",NaN,0,,""
49.5,148.5,-1.47,"",NaN,0,,"",NaN,49.5,148.5,-1.47,"",NaN,0,,"",NaN,49.5,148.5,-1.35,NaN,NaN,0,,"",NaN,49.5,148.5,-1.35,NaN,NaN,0,,"",NaN,49.5,148.5,-1.35,NaN,NaN,0,,"",NaN,49.5,148.5,-1.35,NaN,NaN,0,,"",NaN,49.5,148.5,-1.35,"",NaN,0,,"",NaN,49.5,148.5,-1.35,"",NaN,0,,""
50,150,-1.5,"",NaN,0,,"",NaN,50,150,-1.5,"",NaN,0,,"",NaN,50,150,-1.38,150.8125,155.3125,4.5,1,"0",NaN,50,150,-1.38,150.75,155.34375,4.59375,0.9966158955,"0",NaN,50,150,-1.38,150.75,155.3125,4.5625,1,"0",NaN,50,150,-1.38,150.8125,155.3125,4.5,1,"0",NaN,50,150,-1.38,"",NaN,0,,"",NaN,50,150,-1.38,"",NaN,0,,""
50.5,151.5,-1.53,"",NaN,0,,"",NaN,50.5,151.5,-1.53,"",NaN,0,,"",NaN,50.5,151.5,-1.41,NaN,NaN,0,,"",NaN,50.5,151.5,-1.41,NaN,NaN,0,,"",NaN,50.5,151.5,-1.41,NaN,NaN,0,,"",NaN,50.5,151.5,-1.41,NaN,NaN,0,,"",NaN,50.5,151.5,-1.41,"",NaN,0,,"",NaN,50.5,151.5,-1.41,"",NaN,0,,""
51,153,-1.56,"",NaN,0,,"",NaN,51,153,-1.56,"",NaN,0,,"",NaN,51,153,-1.44,NaN,NaN,0,,"",NaN,51,153,-1.44,NaN,NaN,0,,"",NaN,51,153,-1.44,NaN,NaN,0,,"",NaN,51,153,-1.44,NaN,NaN,0,,"",NaN,51,153,-1.44,"",NaN,0,,"",NaN,51,153,-1.44,"",NaN,0,,""
51.5,154.5,-1.59,"",NaN,0,,"",NaN,51.5,154.5,-1.59,"",NaN,0,,"",NaN,51.5,154.5,-1.47,NaN,NaN,0,,"",NaN,51.5,154.5,-1.47,NaN,NaN,0,,"",NaN,51.5,154.5,-1.47,NaN,NaN,0,,"",NaN,51.5,154.5,-1.47,NaN,NaN,0,,"",NaN,51.5,154.5,-1.47,"",NaN,0,,"",NaN,51.5,154.5,-1.47,"",NaN,0,,""
52,156,-1.62,"",NaN,0,,"",NaN,52,156,-1.62,"",NaN,0,,"",NaN,52,156,-1.5,150.8125,155.3125,4.5,1,"0",NaN,52,156,-1.5,150.71875,155.34375,4.625,1,"0",NaN,52,156,-1.5,150.75,155.3125,4.5625,1,"0",NaN,52,156,-1.5,150.8125,155.3125,4.5,1,"0",NaN,52,156,-1.5,"",NaN,0,,"",NaN,52,156,-1.5,"",NaN,0,,""
52.5,157.5,-1.65,"",NaN,0,,"",NaN,52.5,157.5,-1.65,"",NaN,0,,"",NaN,52.5,157.5,-1.53,NaN,NaN,0,,"",NaN,52.5,157.5,-1.53,NaN,NaN,0,,"",NaN,52.5,157.5,-1.53,NaN,NaN,0,,"",NaN,52.5,157.5,-1.53,NaN,NaN,0,,"",NaN,52.5,157.5,-1.53,"",NaN,0,,"",NaN,52.5,157.5,-1.53,"",NaN,0,,""
53,159,-1.68,"",NaN,0,,"",NaN,53,159,-1.68,"",NaN,0,,"",NaN,53,159,-1.56,NaN,NaN,0,,"",NaN,53,159,-1.56,NaN,NaN,0,,"",NaN,53,159,-1.56,NaN,NaN,0,,"",NaN,53,159,-1.56,NaN,NaN,0,,"",NaN,53,159,-1.56,"",NaN,0,,"",NaN,53,159,-1.56,"",NaN,0,,""
53.5,160.5,-1.71,"",NaN,0,,"",NaN,53.5,160.5,-1.71,"",NaN,0,,"",NaN,53.5,160.5,-1.59,NaN,NaN,0,,"",NaN,53.5,160.5,-1.59,NaN,NaN,0,,"",NaN,53.5,160.5,-1.59,NaN,NaN,0,,"",NaN,53.5,160.5,-1.59,NaN,NaN,0,,"",NaN,53.5,160.5,-1.59,"",NaN,0,,"",NaN,53.5,160.5,-1.59,"",NaN,0,,""
54,162,-1.74,"",NaN,0,,"",NaN,54,162,-1.74,"",NaN,0,,"",NaN,54,162,-1.62,150.8125,155.3125,4.5,1,"0",NaN,54,162,-1.62,150.71875,155.34375,4.625,1,"0",NaN,54,162,-1.62,150.75,155.3125,4.5625,1,"0",NaN,54,162,-1.62,150.8125,155.3125,4.5,1,"0",NaN,54,162,-1.62,"",NaN,0,,"",NaN,54,162,-1.62,"",NaN,0,,""
54.5,163.5,-1.77,"",NaN,0,,"",NaN,54.5,163.5,-1.77,"",NaN,0,,"",NaN,54.5,163.5,-1.65,NaN,NaN,0,,"",NaN,54.5,163.5,-1.65,NaN,NaN,0,,"",NaN,54.5,163.5,-1.65,NaN,NaN,0,,"",NaN,54.5,163.5,-1.65,NaN,NaN,0,,"",NaN,54.5,163.5,-1.65,"",NaN,0,,"",NaN,54.5,163.5,-1.65,"",NaN,0,,""
55,165,-1.8,"",NaN,0,,"",NaN,55,165,-1.8,"",NaN,0,,"",NaN,55,165,-1.68,NaN,NaN,0,,"",NaN,55,165,-1.68,NaN,NaN,0,,"",NaN,55,165,-1.68,NaN,NaN,0,,"",NaN,55,165,-1.68,NaN,NaN,0,,"",NaN,55,165,-1.68,"",NaN,0,,"",NaN,55,165,-1.68,"",NaN,0,,""
55.5,166.5,-1.83,"",NaN,0,,"",NaN,55.5,166.5,-1.83,"",NaN,0,,"",NaN,55.5,166.5,-1.71,NaN,NaN,0,,"",NaN,55.5,166.5,-1.71,NaN,NaN,0,,"",NaN,55.5,166.5,-1.71,NaN,NaN,0,,"",NaN,55.5,166.5,-1.71,NaN,NaN,0,,"",NaN,55.5,166.5,-1.71,"",NaN,0,,"",NaN,55.5,166.5,-1.71,"",NaN,0,,""
56,168,-1.86,"",NaN,0,,"",NaN,56,168,-1.86,"",NaN,0,,"",NaN,56,168,-1.74,150.8125,155.3125,4.5,1,"0",NaN,56,168,-1.74,150.71875,155.34375,4.625,1,"0",NaN,56,168,-1.74,150.75,155.3125,4.5625,1,"0",NaN,56,168,-1.74,150.8125,155.3125,4.5,1,"0",NaN,56,168,-1.74,"",NaN,0,,"",NaN,56,168,-1.74,"",NaN,0,,""
56.5,169.5,-1.89,"",NaN,0,,"",NaN,56.5,169.5,-1.89,"",NaN,0,,"",NaN,56.5,169.5,-1.77,NaN,NaN,0,,"",NaN,56.5,169.5,-1.77,NaN,NaN,0,,"",NaN,56.5,169.5,-1.77,NaN,NaN,0,,"",NaN,56.5,169.5,-1.77,NaN,NaN,0,,"",NaN,56.5,169.5,-1.77,"",NaN,0,,"",NaN,56.5,169.5,-1.77,"",NaN,0,,""
57,171,-1.92,"",NaN,0,,"",NaN,57,171,-1.92,"",NaN,0,,"",NaN,57,171,-1.8,NaN,NaN,0,,"",NaN,57,171,-1.8,NaN,NaN,0,,"",NaN,57,171,-1.8,NaN,NaN,0,,"",NaN,57,171,-1.8,NaN,NaN,0,,"",NaN,57,171,-1.8,"",NaN,0,,"",NaN,57,171,-1.8,"",NaN,0,,""
57.5,172.5,-1.95,"",NaN,0,,"",NaN,57.5,172.5,-1.95,"",NaN,0,,"",NaN,57.5,172.5,-1.83,NaN,NaN,0,,"",NaN,57.5,172.5,-1.83,NaN,NaN,0,,"",NaN,57.5,172.5,-1.83,NaN,NaN,0,,"",NaN,57.5,172.5,-1.83,NaN,NaN,0,,"",NaN,57.5,172.5,-1.83,"",NaN,0,,"",NaN,57.5,172.5,-1.83,"",NaN,0,,""
58,174,-1.98,"",NaN,0,,"",NaN,58,174,-1.98,"",NaN,0,,"",NaN,58,174,-1.86,150.8125,155.3125,4.5,1,"0",NaN,58,174,-1.86,150.71875,155.34375,4.625,1,"0",NaN,58,174,-1.86,150.75,155.3125,4.5625,1,"0",NaN,58,174,-1.86,150.8125,155.3125,4.5,1,"0",NaN,58,174,-1.86,"",NaN,0,,"",NaN,58,174,-1.86,"",NaN,0,,""
58.5,175.5,-2.01,"",NaN,0,,"",NaN,58.5,175.5,-2.01,"",NaN,0,,"",NaN,58.5,175.5,-1.89,NaN,NaN,0,,"",NaN,58.5,175.5,-1.89,NaN,NaN,0,,"",NaN,58.5,175.5,-1.89,NaN,NaN,0,,"",NaN,58.5,175.5,-1.89,NaN,NaN,0,,"",NaN,58.5,175.5,-1.89,"",NaN,0,,"",NaN,58.5,175.5,-1.89,"",NaN,0,,""
59,177,-2.04,"",NaN,0,,"",NaN,59,177,-2.04,"",NaN,0,,"",NaN,59,177,-1.92,NaN,NaN,0,,"",NaN,59,177,-1.92,NaN,NaN,0,,"",NaN,59,177,-1.92,NaN,NaN,0,,"",NaN,59,177,-1.92,NaN,NaN,0,,"",NaN,59,177,-1.92,"",NaN,0,,"",NaN,59,177,-1.92,"",NaN,0,,""
59.5,178.5,-2.07,"",NaN,0,,"",NaN,59.5,178.5,-2.07,"",NaN,0,,"",NaN,59.5,178.5,-1.95,NaN,NaN,0,,"",NaN,59.5,178.5,-1.95,NaN,NaN,0,,"",NaN,59.5,178.5,-1.95,NaN,NaN,0,,"",NaN,59.5,178.5,-1.95,NaN,NaN,0,,"",NaN,59.5,178.5,-1.95,"",NaN,0,,"",NaN,59.5,178.5,-1.95,"",NaN,0,,""
60,180,-2.1,"",NaN,0,,"",NaN,60,180,-2.1,"",NaN,0,,"",NaN,60,180,-1.98,150.8125,155.3125,4.5,1,"0",NaN,60,180,-1.98,150.71875,155.34375,4.625,1,"0",NaN,60,180,-1.98,150.75,155.3125,4.5625,1,"0",NaN,60,180,-1.98,150.8125,155.3125,4.5,1,"0",NaN,60,180,-1.98,"",NaN,0,,"",NaN,60,180,-1.98,"",NaN,0,,""
