Time,Voltage,Time,,,,,,,,
17:50:50.653,2.33,50.653,,,,,,,,
17:50:50.686,2.32,50.686,,,,,,,,
17:50:50.755,2.3,50.755,,,,,,,,
17:50:50.789,2.29,50.789,,,,,,,,
17:50:50.864,2.28,50.864,,,,,,,,
17:50:50.897,2.27,50.897,,,,,,,,
17:50:50.936,2.27,50.936,,,,,,,,
17:50:51.005,2.27,51.005,,,,,,,,
17:50:51.040,2.28,51.04,,,,,,,,
17:50:51.115,2.3,51.115,,,,,,,,
17:50:51.148,2.34,51.148,,,,,,,,
17:50:51.182,2.37,51.182,,,,,,,,
17:50:51.252,2.39,51.252,,,,,,,,
17:50:51.286,2.39,51.286,,,,,,,,
17:50:51.354,2.4,51.354,,,,,,,,
17:50:51.388,2.41,51.388,,,,,,,,
17:50:51.460,2.41,51.46,,,,,,,,
17:50:51.493,2.4,51.493,,,,,,,,
17:50:51.564,2.39,51.564,,,,,,,,
17:50:51.598,2.38,51.598,,,,,,,,
17:50:51.633,2.38,51.633,,,,,,,,
17:50:51.701,2.37,51.701,,,,,,,,
17:50:51.736,2.37,51.736,,,,,,,,
17:50:51.810,2.37,51.81,,,,,,,,
17:50:51.844,2.36,51.844,,,,,,,,
17:50:51.914,2.37,51.914,,,,,,,,
17:50:51.950,2.37,51.95,,,,,,,,
17:50:51.986,2.37,51.986,,,,,,,,
17:50:52.061,2.36,52.061,,,,,,,,
17:50:52.096,2.36,52.096,,,,,,,,
17:50:52.130,2.36,52.13,,,,,,,,
17:50:52.198,2.36,52.198,,,,,,,,
17:50:52.236,2.36,52.236,,,,,,,,
17:50:52.304,2.36,52.304,,,,,,,,
17:50:52.343,2.37,52.343,,,,,,,,
17:50:52.414,2.36,52.414,,,,,,,,
17:50:52.447,2.37,52.447,,,,,,,,
17:50:52.514,2.37,52.514,,,,,,,,
17:50:52.552,2.37,52.552,,,,,,,,
17:50:52.586,2.37,52.586,,,,,,,,
17:50:52.653,2.37,52.653,,,,,,,,
17:50:52.686,2.36,52.686,,,,,,,,
17:50:52.753,2.36,52.753,,,,,,,,
17:50:52.786,2.35,52.786,,,,,,,,
17:50:52.859,2.35,52.859,,,,,,,,
17:50:52.895,2.35,52.895,,,,,,,,
17:50:52.963,2.35,52.963,,,,,,,,
17:50:53.000,2.34,53,,,,,,,,
17:50:53.038,2.35,53.038,,,,,,,,
17:50:53.109,2.35,53.109,,,,,,,,
17:50:53.143,2.36,53.143,,,,,,,,
17:50:53.214,2.36,53.214,,,,,,,,
17:50:53.252,2.37,53.252,,,,,,,,
17:50:53.286,2.38,53.286,,,,,,,,
17:50:53.360,2.38,53.36,,,,,,,,
17:50:53.395,2.38,53.395,,,,,,,,
17:50:53.464,2.38,53.464,,,,,,,,
17:50:53.502,2.39,53.502,,,,,,,,
17:50:53.535,2.39,53.535,,,,,,,,
17:50:53.603,2.39,53.603,,,,,,,,
17:50:53.641,2.39,53.641,,,,,,,,
17:50:53.707,2.39,53.707,,,,,,,,
17:50:53.746,2.39,53.746,,,,,,,,
17:50:53.816,2.39,53.816,,,,,,,,
17:50:53.849,2.39,53.849,,,,,,,,
17:50:53.887,2.37,53.887,,,,,,,,
17:50:53.956,2.36,53.956,,,,,,,,
17:50:53.990,2.35,53.99,,,,,,,,
17:50:54.061,2.34,54.061,,,,,,,,
17:50:54.095,2.34,54.095,,,,,,,,
17:50:54.164,2.34,54.164,,,,,,,,
17:50:54.198,2.33,54.198,,,,,,,,
17:50:54.236,2.33,54.236,,,,,,,,
17:50:54.304,2.32,54.304,,,,,,,,
17:50:54.340,2.32,54.34,,,,,,,,
17:50:54.414,2.31,54.414,,,,,,,,
17:50:54.447,2.31,54.447,,,,,,,,
17:50:54.484,2.31,54.484,,,,,,,,
17:50:54.556,2.3,54.556,,,,,,,,
17:50:54.591,2.3,54.591,,,,,,,,
17:50:54.664,2.3,54.664,,,,,,,,
17:50:54.697,2.31,54.697,,,,,,,,
17:50:54.735,2.32,54.735,,,,,,,,
17:50:54.803,2.32,54.803,,,,,,,,
17:50:54.837,2.33,54.837,,,,,,,,
17:50:54.903,2.33,54.903,,,,,,,,
17:50:54.939,2.33,54.939,,,,,,,,
17:50:55.014,2.33,55.014,,,,,,,,
17:50:55.047,2.33,55.047,,,,,,,,
17:50:55.115,2.34,55.115,,,,,,,,
17:50:55.153,2.35,55.153,,,,,,,,
17:50:55.186,2.36,55.186,,,,,,,,
17:50:55.253,2.37,55.253,,,,,,,,
17:50:55.286,2.37,55.286,,,,,,,,
17:50:55.354,2.38,55.354,,,,,,,,
17:50:55.388,2.38,55.388,,,,,,,,
17:50:55.460,2.38,55.46,,,,,,,,
17:50:55.496,2.38,55.496,,,,,,,,
17:50:55.566,2.36,55.566,,,,,,,,
17:50:55.604,2.36,55.604,,,,,,,,
17:50:55.638,2.35,55.638,,,,,,,,
17:50:55.706,2.35,55.706,,,,,,,,
17:50:55.741,2.35,55.741,,,,,,,,
17:50:55.817,2.34,55.817,,,,,,,,
17:50:55.851,2.34,55.851,,,,,,,,
17:50:55.887,2.34,55.887,,,,,,,,
17:50:55.958,2.34,55.958,,,,,,,,
17:50:55.992,2.33,55.992,,,,,,,,
17:50:56.063,2.33,56.063,,,,,,,,
17:50:56.097,2.33,56.097,,,,,,,,
17:50:56.131,2.33,56.131,,,,,,,,
17:50:56.201,2.33,56.201,,,,,,,,
17:50:56.237,2.33,56.237,,,,,,,,
17:50:56.308,2.32,56.308,,,,,,,,
17:50:56.346,2.31,56.346,,,,,,,,
17:50:56.414,2.31,56.414,,,,,,,,
17:50:56.451,2.3,56.451,,,,,,,,
17:50:56.487,2.3,56.487,,,,,,,,
17:50:56.556,2.3,56.556,,,,,,,,
17:50:56.589,2.3,56.589,,,,,,,,
17:50:56.657,2.3,56.657,,,,,,,,
17:50:56.691,2.31,56.691,,,,,,,,
17:50:56.757,2.31,56.757,,,,,,,,
17:50:56.791,2.32,56.791,,,,,,,,
17:50:56.859,2.32,56.859,,,,,,,,
17:50:56.892,2.32,56.892,,,,,,,,
17:50:56.966,2.32,56.966,,,,,,,,
17:50:57.003,2.32,57.003,,,,,,,,
17:50:57.037,2.33,57.037,,,,,,,,
17:50:57.109,2.33,57.109,,,,,,,,
17:50:57.144,2.33,57.144,,,,,,,,
17:50:57.215,2.33,57.215,,,,,,,,
17:50:57.248,2.33,57.248,,,,,,,,
17:50:57.286,2.34,57.286,,,,,,,,
17:50:57.358,2.34,57.358,,,,,,,,
17:50:57.392,2.34,57.392,,,,,,,,
17:50:57.464,2.35,57.464,,,,,,,,
17:50:57.498,2.34,57.498,,,,,,,,
17:50:57.532,2.34,57.532,,,,,,,,
17:50:57.601,2.33,57.601,,,,,,,,
17:50:57.637,2.32,57.637,,,,,,,,
17:50:57.704,2.32,57.704,,,,,,,,
17:50:57.740,2.32,57.74,,,,,,,,
17:50:57.809,2.32,57.809,,,,,,,,
17:50:57.845,2.31,57.845,,,,,,,,
17:50:57.916,2.33,57.916,,,,,,,,
17:50:57.952,2.35,57.952,,,,,,,,
17:50:57.986,2.36,57.986,,,,,,,,
17:50:58.057,2.37,58.057,,,,,,,,
17:50:58.090,2.37,58.09,,,,,,,,
17:50:58.157,2.37,58.157,,,,,,,,
17:50:58.191,2.38,58.191,,,,,,,,
17:50:58.259,2.38,58.259,,,,,,,,
17:50:58.294,2.36,58.294,,,,,,,,
17:50:58.361,2.35,58.361,,,,,,,,
17:50:58.395,2.34,58.395,,,,,,,,
