Constant parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disc name,A2,,All distances are in inches unless otherwise specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,22.5,0.96,,,0,,,,7.5,22.5,1.08,,,0,,,,7.5,22.5,1.02,,,0,,,7.5,22.5,1.02,,,0,,,,7.5,22.5,1.02,,,0,,,,7.5,22.5,0.96,,,0,,,,7.5,22.5,1.05,,,0,,,,7.5,22.5,1.02,,,0,,,,7.5000,22.5,0.96,,,0,,,,-7.5,-22.5,1.95,,,0,0.0000
8,24,0.93,149.8125,154.1875,4.375,0.9860,0,,8,24,1.05,149.84375,154.1875,4.34375,0.9929,0,,8,24,0.99,149.78125,154.21875,4.4375,0.9930,,8,24,0.99,149.78125,154.21875,4.4375,0.9930,0,,8,24,0.99,149.78125,154.21875,4.4375,0.9930,0,,8,24,0.93,149.78125,154.21875,4.4375,0.9930,0,,8,24,1.02,149.78125,154.21875,4.4375,0.9930,0,,8,24,0.99,149.8125,154.1875,4.375,0.9860,0,,8.0000,24,0.93,149.8125,154.1875,4.375,0.9860,0,,-7,-21,1.92,149.75,154.25,4.5,1.0000
8.5,25.5,0.9,,,0,,,,8.5,25.5,1.02,,,0,,,,8.5,25.5,0.96,,,0,,,8.5,25.5,0.96,,,0,,,,8.5,25.5,0.96,,,0,,,,8.5,25.5,0.9,,,0,,,,8.5,25.5,0.99,,,0,,,,8.5,25.5,0.96,,,0,,,,8.5000,25.5,0.9,,,0,,,,-6.5,-19.5,1.89,,,0,0.0000
9,27,0.87,149.8125,154.1875,4.375,0.9860,0,,9,27,0.99,149.84375,154.1875,4.34375,0.9929,0,,9,27,0.93,149.78125,154.21875,4.4375,0.9930,,9,27,0.93,149.78125,154.21875,4.4375,0.9930,0,,9,27,0.93,149.78125,154.21875,4.4375,0.9930,0,,9,27,0.87,149.78125,154.21875,4.4375,0.9930,0,,9,27,0.96,149.78125,154.21875,4.4375,0.9930,0,,9,27,0.93,149.8125,154.1875,4.375,0.9860,0,,9.0000,27,0.87,149.84375,154.15625,4.3125,0.9789,0.003857758689,,-6,-18,1.86,149.75,154.25,4.5,1.0000
9.5,28.5,0.84,,,0,,,,9.5,28.5,0.96,,,0,,,,9.5,28.5,0.9,,,0,,,9.5,28.5,0.9,,,0,,,,9.5,28.5,0.9,,,0,,,,9.5,28.5,0.84,,,0,,,,9.5,28.5,0.93,,,0,,,,9.5,28.5,0.9,,,0,,,,9.5000,28.5,0.84,149.875,154.125,4.25,0.9718,0.004257967444,,-5.5,-16.5,1.83,,,0,0.0000
10,30,0.81,149.8125,154.1875,4.375,0.9860,0,,10,30,0.93,149.84375,154.1875,4.34375,0.9929,0,,10,30,0.87,149.96875,154,4.03125,0.9465,,10,30,0.87,149.78125,154.21875,4.4375,0.9930,0,,10,30,0.87,149.78125,154.21875,4.4375,0.9930,0,,10,30,0.81,149.8125,154.1875,4.375,0.9860,0,,10,30,0.9,149.8125,154.1875,4.375,0.9860,0,,10,30,0.87,149.8125,154.15625,4.34375,0.9825,0,,10.0000,30,0.81,149.875,154.125,4.25,0.9718,0.004842300854,,-5,-15,1.8,149.75,154.25,4.5,1.0000
10.5,31.5,0.78,,,0,,,,10.5,31.5,0.9,,,0,,,,10.5,31.5,0.84,,,0,,,10.5,31.5,0.84,,,0,,,,10.5,31.5,0.84,,,0,,,,10.5,31.5,0.78,,,0,,,,10.5,31.5,0.87,,,0,,,,10.5,31.5,0.84,,,0,,,,10.5000,31.5,0.78,149.90625,154.0625,4.15625,0.9610,0.005867247712,,-4.5,-13.5,1.77,,,0,0.0000
11,33,0.75,149.8125,154.1875,4.375,0.9860,0,,11,33,0.87,149.84375,154.1875,4.34375,0.9929,0,,11,33,0.81,149.96875,154,4.03125,0.9465,,11,33,0.81,149.78125,154.1875,4.40625,0.9895,0,,11,33,0.81,149.8125,154.1875,4.375,0.9860,0,,11,33,0.75,149.875,154.125,4.25,0.9718,0.01003170657,,11,33,0.84,149.84375,154.15625,4.3125,0.9789,0.008276816266,,11,33,0.81,149.84375,154.125,4.28125,0.9754,0.009427148253,,11.0000,33,0.75,149.9375,154.03125,4.09375,0.9538,0.006774157145,,-4,-12,1.74,149.75,154.25,4.5,1.0000
11.5,34.5,0.72,,,0,,,,11.5,34.5,0.84,,,0,,,,11.5,34.5,0.78,,,0,,,11.5,34.5,0.78,,,0,,,,11.5,34.5,0.78,,,0,,,,11.5,34.5,0.72,,,0,,,,11.5,34.5,0.81,,,0,,,,11.5,34.5,0.78,,,0,,,,11.5000,34.5,0.72,150,154,4,0.9428,0.007797469422,,-3.5,-10.5,1.71,,,0,0.0000
12,36,0.69,149.8125,154.1875,4.375,0.9860,0,,12,36,0.81,149.84375,154.1875,4.34375,0.9929,0,,12,36,0.75,149.8125,154.1875,4.375,0.9860,,12,36,0.75,149.8125,154.1875,4.375,0.9860,0,,12,36,0.75,149.84375,154.1875,4.34375,0.9825,0,,12,36,0.69,149.9375,154,4.0625,0.9501,0.006636871268,,12,36,0.78,149.90625,154.09375,4.1875,0.9647,0.005387805907,,12,36,0.75,149.9375,154.0625,4.125,0.9574,0.006318308217,,12.0000,36,0.69,150.03125,153.9375,3.90625,0.9317,0.008495562528,,-3,-9,1.68,149.75,154.25,4.5,1.0000
